Best Prec @1 Accy,Accuracy of Class 0,Accuracy of Class 1,Accuracy of Class 2,Accuracy of Class 3,Accuracy of Class 4,Accuracy of Class 5,Accuracy of Class 6,Accuracy of Class 7,Accuracy of Class 8,Accuracy of Class 9,batch_size,shuffle,learning_rate,reg,momentum,loss_type,save_best,beta,dataset
0.41362637281417847,0.547517716884613,0.24740740656852722,0.35944700241088867,,,,,,,,8,True,0.0001,0.0005,0.9,Focal,True,0.999,ASSAULT
0.42444443702697754,0.5965724587440491,0.20122887194156647,0.34648701548576355,,,,,,,,8,True,0.0001,0.0005,0.9,Focal,True,0.995,ASSAULT
0.4024175703525543,0.5100598335266113,0.22987616062164307,0.42001408338546753,,,,,,,,8,True,0.0001,0.0005,0.9,Focal,True,0.99,ASSAULT
0.3995555639266968,0.5428439378738403,0.2227342575788498,0.32338786125183105,,,,,,,,8,True,0.0001,0.001,0.9,Focal,True,0.999,ASSAULT
0.4037777781486511,0.5391384959220886,0.20353302359580994,0.37343600392341614,,,,,,,,8,True,0.0001,0.001,0.9,Focal,True,0.995,ASSAULT
0.4322222173213959,0.6248263120651245,0.261904776096344,0.24542829394340515,,,,,,,,8,True,0.0001,0.001,0.9,Focal,True,0.99,ASSAULT
0.4002173840999603,0.5577362179756165,0.2183045744895935,0.30483272671699524,,,,,,,,8,True,0.0001,0.05,0.9,Focal,True,0.999,ASSAULT
0.41521739959716797,0.5896850824356079,0.2250562608242035,0.2955390214920044,,,,,,,,8,True,0.0001,0.05,0.9,Focal,True,0.995,ASSAULT
0.3745652139186859,0.3875539004802704,0.2838522791862488,0.4398496150970459,,,,,,,,8,True,0.0001,0.05,0.9,Focal,True,0.99,ASSAULT
0.49434784054756165,0.8361479043960571,0.10877719521522522,0.2760223150253296,,,,,,,,8,True,0.0001,0.0005,0.95,Focal,True,0.999,ASSAULT
0.45456522703170776,0.6627110838890076,0.13803450763225555,0.4228624403476715,,,,,,,,8,True,0.0001,0.0005,0.95,Focal,True,0.995,ASSAULT
0.45652174949645996,0.7229575514793396,0.10727681964635849,0.3466542661190033,,,,,,,,8,True,0.0001,0.0005,0.95,Focal,True,0.99,ASSAULT
0.47869566082954407,0.7590141296386719,0.1350337564945221,0.3336431086063385,,,,,,,,8,True,0.0001,0.001,0.95,Focal,True,0.999,ASSAULT
0.4602173864841461,0.7234139442443848,0.10952737927436829,0.3587360680103302,,,,,,,,8,True,0.0001,0.001,0.95,Focal,True,0.995,ASSAULT
0.46044445037841797,0.7035664916038513,0.13748079538345337,0.35996150970458984,,,,,,,,8,True,0.0001,0.001,0.95,Focal,True,0.99,ASSAULT
0.46666666865348816,0.802223265171051,0.11290322244167328,0.21270452439785004,,,,,,,,8,True,0.0001,0.05,0.95,Focal,True,0.999,ASSAULT
0.48955556750297546,0.841593325138092,0.08986175060272217,0.25890278816223145,,,,,,,,8,True,0.0001,0.05,0.95,Focal,True,0.995,ASSAULT
0.46586957573890686,0.7635782957077026,0.1027756929397583,0.30947956442832947,,,,,,,,8,True,0.0001,0.05,0.95,Focal,True,0.99,ASSAULT
0.5686956644058228,0.8776814341545105,0.005251312628388405,0.6375464797019958,,,,,,,,8,True,0.0001,0.0005,0.99,Focal,True,0.999,ASSAULT
0.5686956644058228,0.8658146858215332,0.0022505626548081636,0.6654275059700012,,,,,,,,8,True,0.0001,0.0005,0.99,Focal,True,0.995,ASSAULT
0.5654347538948059,0.8726608753204346,0.00825206283479929,0.6301115155220032,,,,,,,,8,True,0.0001,0.0005,0.99,Focal,True,0.99,ASSAULT
0.5663043260574341,0.8671839237213135,0.005251312628388405,0.6486988663673401,,,,,,,,8,True,0.0001,0.001,0.99,Focal,True,0.999,ASSAULT
0.5673912763595581,0.8731173276901245,0.00600150041282177,0.6403345465660095,,,,,,,,8,True,0.0001,0.001,0.99,Focal,True,0.995,ASSAULT
0.5665217638015747,0.870378851890564,0.003000750206410885,0.6459107995033264,,,,,,,,8,True,0.0001,0.001,0.99,Focal,True,0.99,ASSAULT
0.5695652365684509,0.8913738131523132,0.003750937758013606,0.6152416467666626,,,,,,,,8,True,0.0001,0.05,0.99,Focal,True,0.999,ASSAULT
0.5682608485221863,0.8813326954841614,0.0015003751032054424,0.6328996419906616,,,,,,,,8,True,0.0001,0.05,0.99,Focal,True,0.995,ASSAULT
0.564130425453186,0.8813326954841614,0.0022505626548081636,0.6143122911453247,,,,,,,,8,True,0.0001,0.05,0.99,Focal,True,0.99,ASSAULT
0.5445652008056641,0.8717480897903442,0.021755438297986984,0.5260223150253296,,,,,,,,16,True,0.001,0.0005,0.9,Focal,True,0.999,ASSAULT
0.5550000071525574,0.8982200026512146,0.00975243840366602,0.5315985083580017,,,,,,,,16,True,0.001,0.0005,0.9,Focal,True,0.995,ASSAULT
0.5482222437858582,0.897174596786499,0.04301075264811516,0.45620790123939514,,,,,,,,16,True,0.001,0.0005,0.9,Focal,True,0.99,ASSAULT
0.5547826290130615,0.8931994438171387,0.015003751032054424,0.5343866348266602,,,,,,,,16,True,0.001,0.001,0.9,Focal,True,0.999,ASSAULT
0.5536956787109375,0.8877224922180176,0.027756938710808754,0.5250929594039917,,,,,,,,16,True,0.001,0.001,0.9,Focal,True,0.995,ASSAULT
0.5460869669914246,0.8959379196166992,0.027756938710808754,0.4758364260196686,,,,,,,,16,True,0.001,0.001,0.9,Focal,True,0.99,ASSAULT
0.5530434846878052,0.8922865986824036,0.01650412566959858,0.5269516706466675,,,,,,,,16,True,0.001,0.05,0.9,Focal,True,0.999,ASSAULT
0.5450000166893005,0.9319944977760315,0.020255064591765404,0.40706318616867065,,,,,,,,16,True,0.001,0.05,0.9,Focal,True,0.995,ASSAULT
0.5545651912689209,0.9119123816490173,0.009002250619232655,0.5027881264686584,,,,,,,,16,True,0.001,0.05,0.9,Focal,True,0.99,ASSAULT
0.5702173709869385,0.8840711712837219,0.003000750206410885,0.6338289976119995,,,,,,,,16,True,0.001,0.0005,0.95,Focal,True,0.999,ASSAULT
0.5691304206848145,0.8872660994529724,0.0015003751032054424,0.624535322189331,,,,,,,,16,True,0.001,0.0005,0.95,Focal,True,0.995,ASSAULT
0.5676087141036987,0.8753993511199951,0.0007501875516027212,0.643122673034668,,,,,,,,16,True,0.001,0.0005,0.95,Focal,True,0.99,ASSAULT
0.5680434703826904,0.8785942196846008,0.003750937758013606,0.6347583532333374,,,,,,,,16,True,0.001,0.001,0.95,Focal,True,0.999,ASSAULT
